question,options,answer,explanation,topic,difficulty,chapter
What is the primary function of an operating system?,"['To run individual application programs only.', 'To manage computer hardware and software resources, and provide common services for computer programs.', 'To solely control the central processing unit (CPU).', 'To facilitate communication between only two computer systems.']",B,"The operating system acts as an intermediary between the user/application programs and the hardware, managing resources and providing services.",Evolution of Operating System,Easy,7.5
Which of the following best describes the role of an operating system in relation to hardware?,"['It directly interacts with hardware without any abstraction.', 'It completely ignores hardware functionalities.', 'It provides a simplified, abstracted view of the hardware to the programmer.', 'It only manages specific types of hardware.']",C,"The OS hides the complexities of the hardware, presenting a user-friendly interface.",Evolution of Operating System,Medium,7.5
An operating system can be best categorized as what type of software?,"['Application software', 'System software', 'Utility software', 'Firmware']",B,Operating systems are fundamentally system software; they manage the hardware and provide a platform for applications.,Evolution of Operating System,Easy,7.5
What is the significance of an operating system in facilitating interaction between a user and a computer?,"['It has no role in user-computer interaction.', 'It is only responsible for data storage.', 'It provides a user interface to interact with the computer and the hardware.', 'It dictates the hardware specifications the user must adhere to.']",C,"The OS provides a means for users to interact with the computer system through a user interface, whether it be command-line or graphical.",Evolution of Operating System,Medium,7.5
What does an operating system hide from the programmer?,"['The user interface', 'The application programs', 'The complexities of the hardware', 'The file system']",C,"The operating system abstracts away the intricate details of the hardware, making it easier for programmers to work.",Evolution of Operating System,Easy,7.5
Which operating system type prioritizes executing tasks within strict time constraints?,"['Batch Operating System', 'Time-Sharing Operating System', 'Distributed Operating System', 'Real-Time Operating System']",D,"Real-Time Operating Systems (RTOS) are specifically designed to meet stringent timing requirements, crucial for applications like industrial control and robotics.",Type of Operating System,Easy,7.5
"In a batch operating system, how does job execution primarily occur?","['Through continuous user interaction.', 'By executing tasks concurrently with user interaction.', 'Without direct user interaction during execution.', 'By prioritizing individual user requests.']",C,Batch operating systems process a series of jobs sequentially without requiring user intervention during the execution of each job.,Type of Operating System,Easy,7.5
What is the fundamental unit of work in a computing environment often described as a program or process waiting for execution?,"['Process', 'Thread', 'Task', 'Kernel']",C,"A task is a basic unit of work.  While a process is also a unit of work, the passage specifically defines a task as a basic unit, often representing a program or process.",Type of Operating System,Medium,7.5
Which operating system type facilitates resource sharing among multiple computers networked together?,"['Batch Operating System', 'Time-Sharing Operating System', 'Real-Time Operating System', 'Distributed Operating System']",D,"Distributed operating systems manage resources and tasks across multiple interconnected computers, enabling collaborative resource use.",Type of Operating System,Medium,7.5
A system allowing multiple users to concurrently access and interact with a single computer is classified as what type of operating system?,"['Batch Operating System', 'Time-Sharing Operating System', 'Real-Time Operating System', 'Distributed Operating System']",B,"Time-sharing operating systems divide processor time amongst multiple users, creating the illusion of simultaneous access.",Type of Operating System,Easy,7.5
