question,options,answer,explanation,topic,difficulty,chapter
Which of the following is NOT a characteristic of good software?,"['Reliability', 'Maintainability', 'Complexity', 'Efficiency']",C) Complexity,"Complexity is an undesirable characteristic; good software aims for simplicity and understandability. Reliability, maintainability, and efficiency are all positive attributes.",Software characteristics,Easy,8.1
What is the primary goal of software maintenance?,"['To add new features.', ""To improve the software's performance and correct errors."", 'To completely rewrite the software.', 'To design the initial software architecture.']",B) To improve the software's performance and correct errors.,"Software maintenance focuses on correcting bugs, improving performance, and adapting to changing requirements, not necessarily adding entirely new features or a complete rewrite.",Software characteristics,Easy,8.1
Which software characteristic ensures the software can be easily modified or updated without significant disruption?,"[' Efficiency', ' Reliability', ' Maintainability', ' Portability']",C) Maintainability,Maintainability refers to the ease with which software can be modified.,Software characteristics,Easy,8.1
A software system that consistently produces accurate results under various conditions exhibits which key characteristic?,"['Usability', 'Scalability', 'Reliability', 'Security']",C) Reliability,Reliability refers to the consistency and accuracy of the software's output.,Software characteristics,Medium,8.1
Software designed to be easily adapted to different hardware platforms or operating systems demonstrates which characteristic?,"[' Maintainability', ' Portability', ' Reusability', ' Scalability']",B) Portability,Portability is the ability of software to run on different platforms without modification or with minimal changes.,Software characteristics,Medium,8.1
Which of the following is NOT a primary characteristic of software quality as commonly understood in software engineering?,"['Reliability', 'Maintainability', 'Cost-effectiveness', 'Usability']",C) Cost-effectiveness,"While cost-effectiveness is a desirable outcome of good software engineering practices, it's not considered a primary *quality attribute* of the software itself.  Reliability, maintainability, and usability are inherent qualities of the software product.",Software quality attributes,Easy,8.1
Maintainability of software refers to:,"['The ease with which a program can be understood and modified.', 'The ability of the software to perform its intended function without failure.', ""The software's ability to interact effectively with users."", 'The speed at which the software executes.']",A) The ease with which a program can be understood and modified.,"Maintainability focuses on how easily the software can be changed or updated after deployment.  The other options describe reliability, usability, and performance, respectively.",Software quality attributes,Easy,8.1
What software quality attribute is most directly impacted by the use of well-defined modules and clear interfaces between them?,"['Performance', 'Security', 'Maintainability', 'Portability']",C) Maintainability,"Well-defined modules and clear interfaces significantly improve the ease of understanding and modifying the software, directly impacting maintainability.",Software quality attributes,Medium,8.1
A software system that consistently produces accurate results under various conditions is said to possess high:,"['Usability', 'Reliability', 'Scalability', 'Security']",B) Reliability,Reliability refers to the consistency and accuracy of the software's performance over time and under different conditions.,Software quality attributes,Easy,8.1
Which software quality attribute is primarily concerned with the ease of learning and use of the software by end-users?,"['Efficiency', 'Reusability', 'Usability', 'Robustness']",C) Usability,Usability focuses on how easy and intuitive the software is for users to interact with and learn.,Software quality attributes,Easy,8.1
Which software process model emphasizes iterative development and incremental delivery of software?,"['Waterfall Model', 'Spiral Model', 'V-Model', 'Prototyping Model']",B,"The Spiral Model incorporates iterative development and incremental delivery, allowing for risk assessment and adaptation throughout the software development lifecycle.  The other models are less flexible in this regard.",Software process model,Medium,8.1
"In software engineering, what is a critical path in a project schedule?","['The shortest sequence of tasks', 'The sequence of tasks with the most dependencies', 'The longest sequence of tasks determining the shortest project duration', 'The sequence of tasks requiring the least resources']",C,"The critical path is the longest sequence of dependent tasks in a project, determining the minimum project duration.  Delays on this path directly impact the overall project completion time.",Software process model,Medium,8.1
What is the primary goal of a software requirements specification (SRS) document?,"[""To detail the software's testing procedures"", ""To outline the software's deployment strategy"", ""To comprehensively describe the software's intended functionality and constraints."", 'To specify the hardware requirements for the software.']",C,"The SRS document serves as a complete and unambiguous description of what the software should do, including functional and non-functional requirements, constraints, and assumptions.",Software process model,Easy,8.1
Which software development lifecycle (SDLC) model is known for its rigidity and sequential nature?,"['Agile Model', 'Waterfall Model', 'Incremental Model', 'RAD Model']",B,"The Waterfall Model follows a strict, sequential approach where each phase must be completed before the next begins. This makes it inflexible compared to iterative models.",Software process model,Easy,8.1
