question,options,answer,explanation,topic,difficulty,chapter
What is a Context-Free Grammar (CFG) formally defined as?,"['A triple consisting of variables, terminals, and rules.', 'A quadruple consisting of variables, terminals, rules, and a start symbol.', 'A quintuple consisting of variables, terminals, rules, a start symbol, and an alphabet.', 'A set of production rules and a start symbol.']",B,"A CFG is formally defined as a quadruple (V, Σ, R, S), where V is the set of variables, Σ is the set of terminals, R is the set of rules, and S is the start symbol.",Introduction to Context Free Grammar (CFG),Medium,6.2
"In a CFG, what is the term for elements belonging to V - Σ?","['Terminals', 'Variables', 'Non-terminals', 'Productions']",C,Elements in V - Σ (the set of variables minus the set of terminals) are called non-terminals.,Introduction to Context Free Grammar (CFG),Easy,6.2
What is a derivation in a CFG?,"['A set of rules defining the grammar.', 'A sequence of substitutions starting with the start symbol and resulting in a string.', 'The final string generated by the grammar.', 'A subset of the terminal symbols.']",B,A derivation is a sequence of steps that apply production rules to transform the start symbol into a terminal string.,Introduction to Context Free Grammar (CFG),Medium,6.2
Which of the following is NOT a component of a Context-Free Grammar?,"['A set of variables (V)', 'A set of terminals (Σ)', 'A set of productions (R)', 'A parsing table']",D,A parsing table is used in parsing algorithms but is not a fundamental component of the CFG definition.,Introduction to Context Free Grammar (CFG),Easy,6.2
What type of set is the set of terminals (Σ) in a CFG?,"['An infinite set', 'A finite set', 'An empty set', 'A recursive set']",B,The set of terminals is always a finite set.,Introduction to Context Free Grammar (CFG),Easy,6.2
What is the label of the root node in a derivation tree for a grammar G?,"[' A terminal symbol from ∑', "" The empty string 'e'"", ' A non-terminal symbol representing the start symbol of the grammar', ' Any symbol from V ∪ ∑']",C,The root node of a derivation tree always represents the start symbol (S) of the grammar.,Derivative trees,Easy,6.2
"In a derivation tree, what type of symbol labels the leaf nodes?","['Non-terminal symbols from V', ' Production rules from R', ""Terminal symbols from ∑ or the empty string 'e'"", 'Interior vertices']",C,"Leaf nodes represent terminal symbols (from the alphabet ∑) or the empty string (e), signifying the completion of a derivation step.",Derivative trees,Easy,6.2
"What condition must be satisfied by the production rules of a grammar G, concerning the labels of a node and its children in the corresponding derivation tree?","[""The parent node's label must be longer than the combined length of its children's labels."", ""The parent node's label must be equal to the combined length of its children's labels."", ' If a vertex has label A and children labeled a1, a2, … an, then A → a1 a2 … an must be a production in G.', ""There is no direct relation between a node's label and its children's labels.""]",C,The production rules of the grammar must directly reflect the relationship between a node and its children in the derivation tree.,Derivative trees,Medium,6.2
Which of the following best describes an interior vertex in a derivation tree?,"['A node that has only one child', 'A node that is a leaf node', 'A node that has at least one child', 'A node labeled with a terminal symbol']",C,Interior vertices are nodes that are not leaf nodes and thus have at least one child.,Derivative trees,Easy,6.2
"If a derivation tree has a leaf node labeled 'e', what does this indicate?","['An error in the derivation', 'The grammar is ambiguous', 'The empty string is part of the language generated by the grammar.', 'The derivation is incomplete.']",C,A leaf node labeled 'e' indicates that the empty string is a valid part of the derivation sequence.,Derivative trees,Medium,6.2
