question,options,answer,explanation,topic,difficulty,chapter
Which protocol provides security at the network layer by encrypting IP packets?,"['Secure Sockets Layer (SSL)', 'Transport Layer Security (TLS)', 'Internet Protocol Security (IPSec)', 'Hypertext Transfer Protocol (HTTP)']",C,IPSec operates at the network layer (Layer 3 of the OSI model) and encrypts IP packets to secure data transmission between networks. SSL/TLS operate at the transport layer (Layer 4). HTTP is an application layer protocol.,Types of Computer Security,Easy,5.6
What is the primary function of SSL and TLS protocols?,"['Routing network traffic', 'Data encryption during transmission', 'Firewall management', 'User authentication only']",B,"SSL and TLS are primarily used to encrypt data transmitted over a network, ensuring secure communication.",Types of Computer Security,Easy,5.6
At which layer of the OSI model does IPSec operate?,"['Application Layer', 'Transport Layer', 'Network Layer', 'Data Link Layer']",C,IPSec operates at the network layer (Layer 3) of the OSI model.,Types of Computer Security,Medium,5.6
Which of the following is NOT primarily focused on data encryption during transmission?,"['TLS', 'SSL', 'IPSec', 'HTTP']",D,"HTTP is primarily a protocol for transferring hypertext, not focused on encryption.  SSL, TLS, and IPSec all incorporate encryption mechanisms.",Types of Computer Security,Medium,5.6
"Besides web browsing, what other services benefit from the security provided by SSL/TLS?","['Network routing', 'File system access', 'Online banking and email', 'Hardware diagnostics']",C,The passage explicitly mentions online banking and email as services secured by SSL/TLS.,Types of Computer Security,Easy,5.6
"Which type of attack overwhelms network resources with excessive traffic, rendering services inaccessible to legitimate users?","['Spoofing attack', 'Man-in-the-middle attack', 'Denial-of-service attack', 'SQL injection attack']",C,"A denial-of-service (DoS) attack is characterized by flooding network resources with excessive traffic, thereby making services unavailable to legitimate users.",Types of Security Attacks,Easy,5.6
A distributed denial-of-service (DDoS) attack differs from a standard denial-of-service (DoS) attack primarily in what aspect?,"['The type of network targeted.', 'The use of encryption techniques.', 'The number of compromised devices involved.', 'The specific services disrupted.']",C,DDoS attacks utilize multiple compromised devices (botnets) to launch a significantly larger and more impactful attack compared to a single-source DoS attack.,Types of Security Attacks,Medium,5.6
What security measure is commonly used to detect and prevent spoofed network traffic?,"['Traffic shaping', 'Firewall', 'Load balancing', 'Network segmentation']",B,"Firewalls are designed to examine network traffic and block suspicious or unauthorized activity, including spoofed packets.",Types of Security Attacks,Easy,5.6
Which of the following best describes the method employed in a denial-of-service attack?,"['Exploiting software vulnerabilities.', 'Intercepting network communication.', 'Overloading network resources.', 'Modifying database entries.']",C,"DoS attacks fundamentally operate by overwhelming the target system or network with a flood of traffic, preventing legitimate users from accessing resources.",Types of Security Attacks,Medium,5.6
What is the primary function of cryptography in network security?,"['Data compression and storage optimization', 'Network traffic monitoring and analysis', 'Transforming readable data into an unreadable format', 'Managing user access and authentication']",C),"Cryptography's core function is to transform plaintext into ciphertext, making data unreadable to unauthorized parties.  Options A, B, and D describe other aspects of network security but not the central role of cryptography.",Principles of cryptography,Easy,5.6
"In symmetric encryption, how many keys are used for both encryption and decryption?","['Three', 'Two', 'One', 'Zero']",C),"The defining characteristic of symmetric encryption is the use of a single, shared secret key for both encrypting and decrypting data.",Principles of cryptography,Easy,5.6
Which type of encryption employs a pair of public and private keys?,"['Symmetric encryption', 'Asymmetric encryption', 'Hashing algorithms', 'Steganography']",B),Asymmetric encryption utilizes a key pair: a public key for encryption and a private key for decryption.  This contrasts with symmetric encryption's use of a single key.,Principles of cryptography,Medium,5.6
What is the term for readable data before encryption?,"['Ciphertext', 'Plaintext', 'Keytext', 'Hashtext']",B),"Plaintext refers to data in its original, readable format before encryption transforms it into ciphertext.",Principles of cryptography,Easy,5.6
What is the term for unreadable data after the application of an encryption algorithm?,"['Plaintext', 'Algorithm', 'Ciphertext', 'Key']",C),"Ciphertext is the encrypted, unreadable form of data produced by an encryption algorithm.",Principles of cryptography,Easy,5.6
"In the RSA algorithm, what is the fundamental operation used for encryption?","['Subtraction of plaintext from a prime number', 'Multiplication of plaintext with a prime number', 'Raising plaintext to an exponent, modulo a product of primes', 'Division of plaintext by a product of primes']",C),"RSA encryption involves raising the plaintext message to the power of the public key exponent, then taking the modulus with respect to the product of two large prime numbers.",RSA Algorithm,Medium,5.6
What mathematical concept is central to the key generation process in the RSA algorithm?,"['Fibonacci sequence', 'Prime numbers', 'Factorial calculations', 'Trigonometric functions']",B),The RSA algorithm relies on the difficulty of factoring the product of two large prime numbers to generate the public and private keys.,RSA Algorithm,Easy,5.6
Which of the following best describes the relationship between the public and private keys in RSA?,"['They are identical.', 'They are unrelated.', 'They are mathematically related but computationally difficult to derive one from the other.', 'The public key is a simple function of the private key.']",C),"The public and private keys are mathematically linked through the prime numbers used in their generation, but deriving one from the other requires computationally infeasible tasks like factoring large numbers.",RSA Algorithm,Medium,5.6
What is a major drawback associated with the implementation of the RSA algorithm?,"['Inherent vulnerability to brute-force attacks.', 'Requires minimal computational resources.', 'Lack of widespread adoption in secure systems.', 'Significant computational overhead for encryption and decryption.']",D),"RSA encryption and decryption are computationally intensive operations, especially with larger key sizes needed for robust security.",RSA Algorithm,Easy,5.6
The security of the RSA algorithm primarily depends on the difficulty of which mathematical problem?,"['Solving a system of linear equations.', 'Finding the greatest common divisor.', 'Factoring large numbers.', 'Computing the discrete logarithm.']",C),"The security of RSA hinges on the computational difficulty of factoring the product of two large prime numbers, which is the basis of its key generation and cryptographic strength.",RSA Algorithm,Medium,5.6
What cryptographic operation is used to generate a digital signature?,"[""Encrypting the message with the sender's public key"", ""Decrypting the message with the sender's private key"", ""Encrypting a hash of the message with the sender's private key"", ""Decrypting a hash of the message with the sender's public key""]",C,A digital signature is created by encrypting a hash of the message (a unique digital fingerprint) using the sender's private key.  This ensures authenticity and non-repudiation.,Digital Signatures,Medium,5.6
Which key is used to verify a digital signature?,"[""The recipient's private key"", ""The sender's private key"", ""The recipient's public key"", ""The sender's public key""]",D,Verification of a digital signature requires the sender's public key to decrypt the hash and compare it to the hash of the received message.,Digital Signatures,Easy,5.6
What is the primary purpose of using encryption protocols like PGP in email communication?,"['To speed up email delivery', 'To reduce email storage space', 'To prevent unauthorized access to email messages', 'To improve email formatting']",C,"PGP and similar protocols encrypt email content, protecting it from unauthorized viewing or modification during transmission.",Digital Signatures,Easy,5.6
What is the role of a hash in the process of creating a digital signature?,"['It encrypts the message directly.', 'It acts as a unique digital fingerprint of the message.', 'It decrypts the message for the recipient.', ""It authenticates the sender's public key.""]",B,"A hash function creates a unique, fixed-size representation (fingerprint) of the message.  This hash is then encrypted to form the digital signature.",Digital Signatures,Medium,5.6
"In the context of digital signatures, what does non-repudiation mean?","['The ability to anonymously send messages.', 'The inability to deny having sent a message.', 'The ability to easily change the content of a signed message.', ""The process of encrypting the recipient's public key.""]",B,Non-repudiation ensures that the sender cannot deny having signed a specific message.  Digital signatures provide this guarantee.,Digital Signatures,Medium,5.6
What is the primary function of Pretty Good Privacy (PGP) in email communication?,"['Decrypting email messages to improve readability.', 'Compressing email attachments to reduce file size.', 'Encrypting email messages and attachments to ensure confidentiality.', ' Managing email addresses and contact lists.']",C,"PGP's core function is to encrypt email content, protecting it from unauthorized access.",Securing e-mail (PGP),Easy,5.6
"In the context of digital signatures, what cryptographic key is used to verify a signature?","[""The recipient's private key"", ""The sender's private key"", ""The recipient's public key"", 'A randomly generated session key']",C,The recipient uses the sender's public key to verify the digital signature's authenticity.,Securing e-mail (PGP),Medium,5.6
What process precedes the creation of a digital signature?,"[""Encrypting the message with the recipient's public key."", ""Decrypting the message with the sender's private key."", 'Creating a hash of the message.', ""Attaching the sender's digital certificate.""]",C,"A hash of the message is generated first, and then encrypted with the sender's private key to create the digital signature.",Securing e-mail (PGP),Medium,5.6
What type of key is used to encrypt a message using PGP?,"[""The sender's public key"", ""The recipient's public key"", ""The sender's private key"", ' A symmetric session key generated by PGP.']",B,"PGP uses the recipient's public key to encrypt the message, ensuring only the recipient with the corresponding private key can decrypt it.",Securing e-mail (PGP),Medium,5.6
Which of the following best describes the purpose of a digital signature in email communication?,"['To compress the email for faster transmission.', ""To verify the sender's identity and the integrity of the message."", 'To encrypt the subject line of the email.', 'To automatically reply to the sender.']",B,Digital signatures provide authentication (verifying sender identity) and integrity (ensuring the message wasn't altered) checks.,Securing e-mail (PGP),Easy,5.6
