question,options,answer,explanation,topic,difficulty,chapter
What distinguishes internal sorting from external sorting in data processing?,"['The use of different sorting algorithms.', 'The location of the data to be sorted (main memory vs. auxiliary storage).', 'The size of the data sets being sorted.', 'The type of data being sorted (numerical vs. alphabetical).']",B,"Internal sorting operates on data residing in main memory, while external sorting handles data stored in auxiliary storage like disks or tapes due to its size exceeding main memory capacity.",Types of sorting: internal and external,Easy,7.2
A sorting algorithm is considered stable if:,"['It sorts data in ascending order only.', 'It always completes sorting within a fixed time.', 'It maintains the relative order of records with equal keys.', 'It uses minimal memory during the sorting process.']",C,"A stable sort preserves the original order of elements with identical keys.  If two elements have the same key, their order in the sorted list will be the same as their order in the unsorted list.",Types of sorting: internal and external,Medium,7.2
Which of the following is an example of a comparison-based sorting algorithm mentioned in the provided context?,"['Merge Sort', 'Radix Sort', 'Counting Sort', 'Exchange Sort']",D,"The passage explicitly mentions ""Exchange sort"" as a comparison-based sorting algorithm.",Types of sorting: internal and external,Easy,7.2
"In the context of sorting, what is a 'key'?","['The position of an element in a list.', 'A unique identifier assigned to each element.', 'The algorithm used to perform the sorting.', 'The size of the data to be sorted.']",B,"While not explicitly defined, the context implies a 'key' is used to compare and order elements during sorting, suggesting it's a unique identifier or value used for comparison.",Types of sorting: internal and external,Medium,7.2
What is a common characteristic of data processed using external sorting?,"['It consists entirely of numerical data.', 'It is stored in a relational database.', 'It exceeds the capacity of the main memory.', 'It is always sorted in descending order.']",C,"External sorting is necessitated when the data volume surpasses the main memory's capacity, requiring the use of auxiliary storage devices.",Types of sorting: internal and external,Easy,7.2
What is the best-case time complexity of Insertion Sort?,"['O(n^2)', 'O(log n)', 'O(n)', 'O(1)']",C,"Insertion Sort achieves O(n) time complexity in its best-case scenario, which occurs when the input array is already sorted.",Insertion and selection sort,Easy,7.2
"In the worst-case scenario, how many comparisons does Selection Sort perform for a list of size N?","['N', 'N-1', 'N(N-1)/2', 'N^2']",C,"Selection Sort performs N(N-1)/2 comparisons in the worst, average, and best cases.",Insertion and selection sort,Medium,7.2
Which sorting algorithm is generally considered more efficient when the input list is nearly sorted?,"['Selection Sort', 'Insertion Sort', 'Merge Sort', 'Quick Sort']",B,"Insertion Sort excels when the input list is almost sorted, as it requires fewer comparisons and shifts.",Insertion and selection sort,Easy,7.2
What is the space complexity of both Insertion Sort and Selection Sort?,"['O(n)', 'O(log n)', 'O(1)', 'O(n^2)']",C,"Both algorithms are in-place sorting algorithms, meaning they require constant extra space.",Insertion and selection sort,Easy,7.2
What is a significant disadvantage of Insertion Sort?,"['High space complexity', 'Excessive data swapping', 'Many comparisons in best-case scenarios', ' A large amount of shifting of sorted elements when inserting later elements']",D,Insertion Sort's main drawback is the considerable shifting of already sorted elements when placing later elements.,Insertion and selection sort,Medium,7.2
What is a stable sort algorithm in the context of sorting records with identical keys?,"['An algorithm that always sorts records in ascending order.', 'An algorithm that guarantees that the relative order of records with the same key remains unchanged.', 'An algorithm that sorts records based solely on their key values, ignoring other attributes.', 'An algorithm that prioritizes speed over maintaining the original order of records.']",B,A stable sort preserves the original relative order of elements with equal keys.,Exchange sort,Medium,7.2
Which of the following best describes internal sorting?,"['Sorting records stored on a hard drive.', 'Sorting records stored in the main memory.', 'Sorting records using external memory only.', 'Sorting records using a combination of main memory and external storage.']",B,Internal sorting involves processing all data within the computer's main memory.,Exchange sort,Easy,7.2
What is the fundamental characteristic of an exchange sort?,"[""It's a non-comparison-based sorting algorithm."", ""It's a distribution-based sorting algorithm."", ""It's a comparison-based sorting algorithm."", ""It's a radix-based sorting algorithm.""]",C,The passage explicitly states that exchange sort is comparison-based.,Exchange sort,Easy,7.2
"In a stable sort, what happens to the relative order of records with identical keys?","['Their order is reversed.', 'Their order is randomized.', 'Their order is unpredictable.', 'Their order is preserved.']",D,A key feature of a stable sort is the maintenance of the original relative order of elements with equal keys.,Exchange sort,Medium,7.2
What is the primary difference between internal and external sorting?,"['The type of data being sorted.', 'The use of comparison-based algorithms.', 'The location where the data is stored during sorting.', 'The speed at which the sorting occurs.']",C,"Internal sorting uses main memory, while external sorting involves auxiliary storage (like disks or tapes) because the data set is too large to fit in main memory.",Exchange sort,Easy,7.2
What is the fundamental principle behind Radix Sort?,"['Comparing pairs of elements repeatedly.', 'Dividing the data into smaller sub-arrays recursively.', 'Sorting based on the digits of numbers in positional representation.', 'Building a binary tree structure to organize the data.']",C),"Radix sort uses the digits of the numbers to sort them, starting from the least significant digit.",Merge and Radix sort,Easy,7.2
"In Radix Sort, the sorting process begins with which digit?","['The most significant digit.', 'The middle digit.', 'A randomly selected digit.', 'The least significant digit.']",D),"The algorithm iteratively sorts based on each digit, starting from the rightmost (least significant) digit.",Merge and Radix sort,Easy,7.2
What is the typical time complexity of Radix Sort (assuming a fixed number of digits)?,"['O(n log n)', 'O(n^2)', 'O(n)', 'O(log n)']",C),"Radix sort has a linear time complexity, O(n), when the number of digits is fixed.",Merge and Radix sort,Medium,7.2
"In Radix Sort, how are numbers with the same digit value at a given position handled?","['They are ignored.', 'They are sorted randomly.', 'They maintain their relative order from the previous iteration.', 'They are always placed at the beginning of the list.']",C),The algorithm preserves the relative order of numbers with the same digit value from one iteration to the next.,Merge and Radix sort,Medium,7.2
Which of the following data structures is commonly used in the implementation of Radix Sort?,"['Binary Search Tree', 'Heap', 'Queues', 'Linked List']",C),Queues are often utilized to store numbers based on their digit values during each iteration.,Merge and Radix sort,Medium,7.2
What is the time complexity of restoring the heap property after inserting a new element into a heap?,"['O(n)', 'O(1)', 'O(log n)', 'O(n log n)']",C,"Inserting into a heap requires shifting the new element up the heap, which takes O(log n) time in the worst case.  Restoring the heap property after insertion also involves this upward shift.",Shell sort,Medium,7.2
Which sorting algorithm offers a significant improvement over simple insertion sort?,"['Bubble Sort', 'Selection Sort', 'Merge Sort', 'Shell Sort']",D,The passage explicitly states that Shell Sort provides a significant improvement over simple insertion sort.,Shell sort,Easy,7.2
"In the context of priority queues implemented as heaps, what is the time complexity for both insertion and deletion operations?","['O(n)', 'O(1)', 'O(log n)', 'O(n^2)']",C,The passage highlights that heap-based priority queues guarantee logarithmic time complexity for both insertions and deletions.,Shell sort,Medium,7.2
What is another name for Shell Sort?,"[' Diminishing Increment Sort', ' Bubble Sort', ' Merge Sort', ' Quick Sort']",A,"The passage refers to Shell Sort as ""diminishing increment sort.""",Shell sort,Easy,7.2
What data structure is advantageous for implementing a priority queue when dealing with large datasets?,"[' Linked List', ' Array', ' Heap', ' Stack']",C,The passage states that implementing a priority queue as a heap is advantageous for large n (large datasets) due to its efficient representation and logarithmic time complexity for insertions and deletions.,Shell sort,Medium,7.2
What is the time complexity of removing an item from a priority queue implemented using a sorted contiguous list?,"['O(n)', 'O(log n)', 'O(1)', 'O(n log n)']",C) O(1),"In a sorted contiguous list, the item with the largest (or smallest) key is at either end, allowing for O(1) removal.",Heap sort as a priority queue,Easy,7.2
Which of the following best describes a priority queue?,"['A data structure that follows FIFO (First-In, First-Out)', 'A data structure that allows only insertion of elements.', 'A data structure where elements are retrieved based on priority.', 'A data structure implementing LIFO (Last-In, First-Out)']",C) A data structure where elements are retrieved based on priority.,"A priority queue retrieves elements based on their priority, not their order of insertion.",Heap sort as a priority queue,Easy,7.2
What is the time complexity of inserting an item into a priority queue implemented using an unsorted list?,"['O(n log n)', 'O(log n)', 'O(n)', 'O(1)']",D) O(1),"Inserting into an unsorted list takes constant time, O(1).",Heap sort as a priority queue,Easy,7.2
