question,options,answer,explanation,topic,difficulty,chapter
Which of the following is NOT a characteristic property of acids?,"['They react with bases to form salts and water.', 'They turn blue litmus paper red.', 'They have a pH greater than 7.', 'They taste sour.']",C,Acids have a pH less than 7.  A pH greater than 7 is characteristic of bases.,ACID properties,Easy,7.4
What is the general chemical formula for an Arrhenius acid?,"['MOH', 'HX', 'R-COOH', 'M₂O']",B,Arrhenius acids are defined as substances that produce H⁺ ions (protons) when dissolved in water.  HX represents a general acid where X is an anion.,ACID properties,Medium,7.4
Which of the following substances is a strong acid?,"['Acetic acid (CH₃COOH)', 'Citric acid', 'Hydrochloric acid (HCl)', 'Carbonic acid (H₂CO₃)']",C,"Hydrochloric acid is a strong acid, meaning it completely dissociates in water. Acetic acid, citric acid, and carbonic acid are weak acids.",ACID properties,Medium,7.4
What type of reaction occurs when an acid reacts with a metal?,"['Precipitation', 'Neutralization', 'Combustion', 'Single displacement']",D,"Acids react with metals in a single displacement reaction, where the metal replaces the hydrogen in the acid, producing a salt and hydrogen gas.",ACID properties,Medium,7.4
The sour taste of many fruits is attributed to the presence of which type of compound?,"['Bases', 'Salts', 'Organic acids', 'Carbohydrates']",C,"The sour taste in fruits is due to the presence of various organic acids such as citric acid (in citrus fruits), malic acid (in apples), and tartaric acid (in grapes).",ACID properties,Easy,7.4
What is the primary advantage of using multiple threads within a single process?,"['Increased memory usage', 'Simplified program structure', 'Concurrent execution', 'Reduced processing speed']",C,"Multiple threads within a process allow for concurrent execution, enabling multiple tasks to proceed seemingly at the same time.",Concurrent Executions,Easy,7.4
Which programming concept allows for the apparent simultaneous execution of multiple tasks within a single process?,"['Serial processing', 'Multiprocessing', 'Threading', 'Pipelining']",C,Threading allows for concurrent execution of multiple tasks within a single process.,Concurrent Executions,Easy,7.4
"In the context of concurrent programming, what is a potential drawback of using numerous threads?","['Increased processing speed', 'Simplified debugging', 'Reduced resource contention', 'Increased risk of race conditions']",D,Multiple threads accessing shared resources simultaneously increase the risk of race conditions.,Concurrent Executions,Medium,7.4
How does the operating system typically manage the concurrent execution of multiple threads within a single process?,"['By assigning each thread to a separate processor core.', 'Through time-slicing and context switching.', 'By prioritizing threads based on their memory requirements.', 'By executing threads sequentially in a predetermined order.']",B,"The operating system uses time-slicing and context switching to rapidly switch between threads, creating the illusion of concurrent execution.",Concurrent Executions,Medium,7.4
What term describes a situation where the outcome of a program depends on the unpredictable order in which multiple threads execute?,"['Deadlock', 'Race condition', 'Mutual exclusion', 'Semaphore']",B,A race condition occurs when the outcome depends on the unpredictable order of thread execution.,Concurrent Executions,Medium,7.4
What is the significance of serial execution of transactions in a database?,"['It increases the speed of transaction processing.', 'It guarantees database consistency.', 'It simplifies database design.', 'It reduces the need for concurrency control.']",B,"Serial execution ensures that transactions are processed one after another, preventing conflicts that could lead to inconsistencies.",Serializability Concept,Easy,7.4
A schedule is considered serializable if it is equivalent to which type of schedule?,"['Parallel schedule', 'Concurrent schedule', 'Serial schedule', 'Distributed schedule']",C,Serializability ensures that a concurrent schedule's outcome is the same as if the transactions were executed serially.,Serializability Concept,Easy,7.4
What are two primary types of serializability discussed in relation to database concurrency control?,"[' Strict serializability and Relaxed serializability', ' Conflict serializability and View serializability', ' Read serializability and Write serializability', ' Temporal serializability and Atemporal serializability']",B,Conflict and view serializability are two major approaches to determining if a schedule is equivalent to a serial one.,Serializability Concept,Medium,7.4
"In conflict serializability, how is equivalence between schedules determined?","['By comparing timestamps of transactions.', 'By analyzing the number of read and write operations.', 'By swapping non-conflicting instructions.', 'By checking for deadlock conditions.']",C,Conflict serializability defines equivalence through a series of swaps of non-conflicting operations.,Serializability Concept,Medium,7.4
"Which of the following BEST describes the concept of a ""conflict"" between instructions in a database schedule?","['Two transactions accessing the same data item, with at least one write operation.', 'Two transactions completing at the same time.', 'Two transactions using different data items.', 'A transaction failing to commit.']",A,A conflict arises when two transactions access the same data item and at least one transaction performs a write operation. This can lead to inconsistency if not handled properly.,Serializability Concept,Medium,7.4
Which lock mode allows both reading and writing of a data item?,"['Shared (S) mode', 'Exclusive (X) mode', 'Read-only mode', 'Write-only mode']",B,The passage explicitly states that exclusive (X) mode allows both reading and writing of a data item.,Lock based Protocols,Easy,7.4
What instruction is used to request an exclusive lock?,"['lock-S', 'unlock-X', 'lock-X', 'unlock-S']",C,The passage indicates that lock-X is the instruction used to request an exclusive lock.,Lock based Protocols,Easy,7.4
