question,options,answer,explanation,topic,difficulty,chapter
Which of the following is NOT a primary function of a peripheral device?,"['Data input', 'Data processing', 'Data output', 'Data storage']",B) Data processing,"Peripheral devices facilitate data input, output, and storage, but the central processing unit (CPU) is primarily responsible for data processing.",Peripheral devices,Easy,4.3
What is the role of a device driver in the context of peripheral devices?,"['To physically connect the device to the CPU.', 'To process data received from the device.', 'To facilitate communication between the peripheral device and the CPU.', 'To store data persistently on the device.']",C) To facilitate communication between the peripheral device and the CPU.,"Device drivers act as an intermediary, translating instructions between the operating system and the peripheral device.",Peripheral devices,Medium,4.3
"Hard drives, SSDs, and optical drives belong to which category of peripheral devices?","['Input devices', 'Output devices', 'Processing devices', 'Storage devices']",D) Storage devices,These devices are specifically designed for persistent data storage.,Peripheral devices,Easy,4.3
A keyboard is classified as what type of peripheral device?,"['Output device', 'Storage device', 'Processing device', 'Input device']",D) Input device,Keyboards allow users to input data into a computer system.,Peripheral devices,Easy,4.3
"Which interface type is commonly used to connect peripheral devices to a CPU? (This question requires some general knowledge about computer interfaces, not explicitly stated in the passage, but related to the topic)","[' Hydraulic', ' USB', ' Pneumatic', ' Biological']",B) USB,"Universal Serial Bus (USB) is a widely used standard for connecting various peripheral devices.  While other interfaces exist, USB is a common and representative example.",Peripheral devices,Medium,4.3
What is the primary function of I/O modules in a computer system?,"[' Processing arithmetic and logical operations.', ' Managing memory allocation and addressing.', ' Interfacing between the CPU and peripheral devices.', ' Controlling the system clock speed.']",C,"I/O modules act as intermediaries, facilitating communication and data transfer between the CPU and peripheral devices.",I/O modules,Easy,4.3
Data transfer between a CPU and a peripheral device can be categorized as what types?,"[' Serial and Parallel', ' Sequential and Random', ' Synchronous and Asynchronous', ' Linear and Non-linear']",C,The passage explicitly mentions synchronous and asynchronous data transfer mechanisms.,I/O modules,Easy,4.3
"In the context of computer architecture, what role do I/O modules play in handling communication with external devices?","['They directly execute programs on the peripheral devices.', 'They simplify the complexities of data transfer and communication with peripherals.', 'They store data temporarily before transferring it to the CPU.', 'They determine the processing speed of peripheral devices.']",B,I/O modules handle the complexities involved in communicating with and transferring data to/from peripheral devices.,I/O modules,Medium,4.3
Which of the following BEST describes the relationship between the CPU and peripheral devices in terms of I/O modules?,"[' The CPU directly controls each peripheral device.', ' Peripheral devices directly access CPU memory.', ' I/O modules mediate the interaction between the CPU and peripheral devices.', ' The operating system bypasses I/O modules for faster communication.']",C,"I/O modules act as an intermediary, managing the communication and data transfer between the CPU and peripheral devices.",I/O modules,Medium,4.3
The method of data transfer between the CPU and a peripheral device depends on what factor?,"[""The CPU's clock speed"", 'The amount of data being transferred', 'The operating characteristics of the device', 'The type of operating system']",C,The passage states that the method of data transfer (synchronous or asynchronous) depends on the device's characteristics.,I/O modules,Medium,4.3
